split_id,row_index,llm_chosen_Llama_3_1_70B_Instruct_a,llm_chosen_Llama_3_1_70B_Instruct_b,label
development/dev_track_a,1,0.0,1.0,False
development/dev_track_a,2,1.0,0.0,True
development/dev_track_a,3,0.0,1.0,False
development/dev_track_a,4,1.0,0.0,False
development/dev_track_a,5,1.0,0.0,False
development/dev_track_a,6,1.0,0.0,False
development/dev_track_a,7,0.0,1.0,False
development/dev_track_a,8,0.0,1.0,False
development/dev_track_a,9,1.0,0.0,True
development/dev_track_a,10,1.0,0.0,True
development/dev_track_a,11,1.0,0.0,True
development/dev_track_a,12,1.0,0.0,True
development/dev_track_a,13,0.0,1.0,True
development/dev_track_a,14,1.0,0.0,True
development/dev_track_a,15,1.0,0.0,False
development/dev_track_a,16,1.0,0.0,True
development/dev_track_a,17,1.0,0.0,True
development/dev_track_a,18,1.0,0.0,False
development/dev_track_a,19,1.0,0.0,True
development/dev_track_a,20,1.0,0.0,True
development/dev_track_a,21,1.0,0.0,True
development/dev_track_a,22,1.0,0.0,True
development/dev_track_a,23,0.0,1.0,False
development/dev_track_a,24,1.0,0.0,True
development/dev_track_a,25,1.0,0.0,True
development/dev_track_a,26,1.0,0.0,True
development/dev_track_a,27,0.0,1.0,False
development/dev_track_a,28,1.0,0.0,True
development/dev_track_a,29,1.0,0.0,True
development/dev_track_a,30,1.0,0.0,True
development/dev_track_a,31,1.0,0.0,False
development/dev_track_a,32,0.0,1.0,False
development/dev_track_a,33,0.0,1.0,False
development/dev_track_a,34,1.0,0.0,True
development/dev_track_a,35,1.0,0.0,True
development/dev_track_a,36,1.0,0.0,True
development/dev_track_a,37,0.0,1.0,False
development/dev_track_a,38,1.0,0.0,False
development/dev_track_a,39,1.0,0.0,False
development/dev_track_a,40,1.0,0.0,True
development/dev_track_a,41,0.0,1.0,True
development/dev_track_a,42,1.0,0.0,True
development/dev_track_a,43,1.0,0.0,True
development/dev_track_a,44,1.0,0.0,False
development/dev_track_a,45,1.0,0.0,False
development/dev_track_a,46,0.0,1.0,False
development/dev_track_a,47,1.0,0.0,False
development/dev_track_a,48,0.0,1.0,False
development/dev_track_a,49,1.0,0.0,True
development/dev_track_a,50,1.0,0.0,True
development/dev_track_a,51,0.0,1.0,False
development/dev_track_a,52,0.0,1.0,True
development/dev_track_a,53,1.0,0.0,False
development/dev_track_a,54,1.0,0.0,False
development/dev_track_a,55,0.0,1.0,False
development/dev_track_a,56,1.0,0.0,False
development/dev_track_a,57,1.0,0.0,True
development/dev_track_a,58,1.0,0.0,True
development/dev_track_a,59,1.0,0.0,True
development/dev_track_a,60,1.0,0.0,False
development/dev_track_a,61,1.0,0.0,False
development/dev_track_a,62,0.0,1.0,False
development/dev_track_a,63,1.0,0.0,True
development/dev_track_a,64,1.0,0.0,True
development/dev_track_a,65,1.0,0.0,True
development/dev_track_a,66,0.0,1.0,False
development/dev_track_a,67,1.0,0.0,False
development/dev_track_a,68,1.0,0.0,False
development/dev_track_a,69,1.0,0.0,False
development/dev_track_a,70,1.0,0.0,True
development/dev_track_a,71,0.0,1.0,False
development/dev_track_a,72,1.0,0.0,True
development/dev_track_a,73,1.0,0.0,False
development/dev_track_a,74,1.0,0.0,True
development/dev_track_a,75,0.0,1.0,False
development/dev_track_a,76,1.0,0.0,True
development/dev_track_a,77,0.0,1.0,False
development/dev_track_a,78,1.0,0.0,False
development/dev_track_a,79,1.0,0.0,False
development/dev_track_a,80,1.0,0.0,False
development/dev_track_a,81,1.0,0.0,True
development/dev_track_a,82,1.0,0.0,True
development/dev_track_a,83,1.0,0.0,True
development/dev_track_a,84,1.0,0.0,True
development/dev_track_a,85,0.0,1.0,False
development/dev_track_a,86,1.0,0.0,False
development/dev_track_a,87,0.0,1.0,False
development/dev_track_a,88,1.0,0.0,True
development/dev_track_a,89,1.0,0.0,False
development/dev_track_a,90,1.0,0.0,True
development/dev_track_a,91,0.0,1.0,False
development/dev_track_a,92,1.0,0.0,False
development/dev_track_a,93,1.0,0.0,False
development/dev_track_a,94,0.0,1.0,False
development/dev_track_a,95,1.0,0.0,True
development/dev_track_a,96,0.0,1.0,False
development/dev_track_a,97,1.0,0.0,True
development/dev_track_a,98,1.0,0.0,False
development/dev_track_a,99,1.0,0.0,True
development/dev_track_a,100,1.0,0.0,True
development/dev_track_a,101,1.0,0.0,True
development/dev_track_a,102,1.0,0.0,False
development/dev_track_a,103,1.0,0.0,False
development/dev_track_a,104,1.0,0.0,True
development/dev_track_a,105,1.0,0.0,False
development/dev_track_a,106,0.0,1.0,False
development/dev_track_a,107,1.0,0.0,True
development/dev_track_a,108,1.0,0.0,False
development/dev_track_a,109,0.0,1.0,False
development/dev_track_a,110,1.0,0.0,True
development/dev_track_a,111,0.0,1.0,False
development/dev_track_a,112,0.0,1.0,False
development/dev_track_a,113,1.0,0.0,False
development/dev_track_a,114,1.0,0.0,True
development/dev_track_a,115,1.0,0.0,True
development/dev_track_a,116,0.0,1.0,False
development/dev_track_a,117,1.0,0.0,True
development/dev_track_a,118,0.0,1.0,False
development/dev_track_a,119,1.0,0.0,True
development/dev_track_a,120,1.0,0.0,True
development/dev_track_a,121,0.0,1.0,False
development/dev_track_a,122,1.0,0.0,True
development/dev_track_a,123,1.0,0.0,True
development/dev_track_a,124,1.0,0.0,True
development/dev_track_a,125,1.0,0.0,False
development/dev_track_a,126,0.0,1.0,False
development/dev_track_a,127,1.0,0.0,False
development/dev_track_a,128,1.0,0.0,True
development/dev_track_a,129,1.0,0.0,False
development/dev_track_a,130,0.0,1.0,False
development/dev_track_a,131,1.0,0.0,True
development/dev_track_a,132,0.0,1.0,True
development/dev_track_a,133,1.0,0.0,True
development/dev_track_a,134,0.0,1.0,False
development/dev_track_a,135,1.0,0.0,True
development/dev_track_a,136,1.0,0.0,False
development/dev_track_a,137,0.0,1.0,False
development/dev_track_a,138,1.0,0.0,True
development/dev_track_a,139,1.0,0.0,True
development/dev_track_a,140,0.0,1.0,False
development/dev_track_a,141,1.0,0.0,False
development/dev_track_a,142,1.0,0.0,False
development/dev_track_a,143,0.0,1.0,False
development/dev_track_a,144,0.0,1.0,True
development/dev_track_a,145,1.0,0.0,True
development/dev_track_a,146,0.0,1.0,False
development/dev_track_a,147,1.0,0.0,True
development/dev_track_a,148,0.0,1.0,False
development/dev_track_a,149,0.0,1.0,False
development/dev_track_a,150,1.0,0.0,True
development/dev_track_a,151,1.0,0.0,True
development/dev_track_a,152,1.0,0.0,True
development/dev_track_a,153,1.0,0.0,True
development/dev_track_a,154,1.0,0.0,True
development/dev_track_a,155,0.0,1.0,False
development/dev_track_a,156,1.0,0.0,True
development/dev_track_a,157,0.0,1.0,True
development/dev_track_a,158,0.0,1.0,False
development/dev_track_a,159,0.0,1.0,False
development/dev_track_a,160,1.0,0.0,True
development/dev_track_a,161,1.0,0.0,True
