split_id,row_index,llm_score_Llama_3_3_70B_Instruct_a,llm_score_Llama_3_3_70B_Instruct_b,label
development/dev_track_a,1,0.0,0.1,False
development/dev_track_a,2,0.4,0.2,True
development/dev_track_a,3,0.1,0.4,False
development/dev_track_a,4,0.4,0.1,False
development/dev_track_a,5,0.4,0.2,False
development/dev_track_a,6,0.4,0.1,False
development/dev_track_a,7,0.4,0.6,False
development/dev_track_a,8,0.1,0.4,False
development/dev_track_a,9,0.4,0.1,True
development/dev_track_a,10,0.4,0.1,True
development/dev_track_a,11,0.4,0.1,True
development/dev_track_a,12,0.4,0.2,True
development/dev_track_a,13,0.1,0.4,True
development/dev_track_a,14,0.4,0.1,True
development/dev_track_a,15,0.15,0.0,False
development/dev_track_a,16,0.4,0.2,True
development/dev_track_a,17,0.4,0.1,True
development/dev_track_a,18,0.1,0.4,False
development/dev_track_a,19,0.4,0.2,True
development/dev_track_a,20,0.4,0.1,True
development/dev_track_a,21,0.4,0.2,True
development/dev_track_a,22,0.7,0.2,True
development/dev_track_a,23,0.7,0.6,False
development/dev_track_a,24,0.7,0.2,True
development/dev_track_a,25,0.4,0.1,True
development/dev_track_a,26,0.4,0.1,True
development/dev_track_a,27,0.1,0.6,False
development/dev_track_a,28,0.4,0.2,True
development/dev_track_a,29,0.15,0.05,True
development/dev_track_a,30,0.4,0.2,True
development/dev_track_a,31,0.4,0.2,False
development/dev_track_a,32,0.1,0.4,False
development/dev_track_a,33,0.1,0.6,False
development/dev_track_a,34,0.7,0.2,True
development/dev_track_a,35,0.4,0.2,True
development/dev_track_a,36,0.1,0.05,True
development/dev_track_a,37,0.1,0.6,False
development/dev_track_a,38,0.7,0.4,False
development/dev_track_a,39,0.4,0.2,False
development/dev_track_a,40,0.4,0.6,True
development/dev_track_a,41,0.1,0.4,True
development/dev_track_a,42,0.7,0.2,True
development/dev_track_a,43,0.7,0.2,True
development/dev_track_a,44,0.4,0.2,False
development/dev_track_a,45,0.1,0.05,False
development/dev_track_a,46,0.1,0.4,False
development/dev_track_a,47,0.7,0.4,False
development/dev_track_a,48,0.1,0.4,False
development/dev_track_a,49,0.4,0.2,True
development/dev_track_a,50,0.4,0.1,True
development/dev_track_a,51,0.1,0.4,False
development/dev_track_a,52,0.4,0.2,True
development/dev_track_a,53,0.4,0.6,False
development/dev_track_a,54,0.2,0.6,False
development/dev_track_a,55,0.1,0.3,False
development/dev_track_a,56,0.7,0.4,False
development/dev_track_a,57,0.7,0.2,True
development/dev_track_a,58,0.7,0.4,True
development/dev_track_a,59,0.15,0.1,True
development/dev_track_a,60,0.7,0.4,False
development/dev_track_a,61,0.1,0.4,False
development/dev_track_a,62,0.2,0.6,False
development/dev_track_a,63,0.4,0.2,True
